cleaned_category,score
G-Lam,6.478888888888889
Tokyo Kids,6.478666666666666
Marza Animation Planet,6.4763636363636365
Point Pictures,6.475
Production GoodBook,6.475
Dongyang Animation,6.47
DMM.futureworks,6.468333333333334
Studio 4°C,6.467321428571428
Kanaban Graphics,6.465
Shion,6.463333333333333
Studio Blanc,6.46
Studio Junio,6.46
Nihikime no Dozeu,6.456666666666667
Polygon Pictures,6.4528125
Studio Soul,6.452
G&G Entertainment,6.45
Kent House,6.45
Plus Heads,6.45
Tanglin Culture,6.45
Ultra Super Pictures,6.45
Studio Ten,6.44
AIC PLUS+,6.435
Mouse,6.435
Encourage Films,6.434
Tomason,6.425000000000001
Blade,6.4225
Azeta Pictures,6.42
Idea Factory,6.42
Kokusai Eigasha,6.42
Suzuki Mirano,6.416111111111111
Tomovies,6.4125
Delight Animation,6.41
MMT Technology,6.41
BreakBottle,6.4075
Wolf Smoke Studio,6.404999999999999
TNK,6.403958333333334
Pb Animation Co. Ltd.,6.4
Kantou Douga Kai,6.395
AXsiZ,6.39
Studio Kikan,6.39
Studio World,6.39
Animaruya,6.385
Passione,6.3835
Studio Zero,6.383333333333333
Mokai Technology,6.38
Venet,6.3740000000000006
Keica,6.37
LEVELS,6.37
Making Animation,6.37
The Monk Studios,6.37
Project No.9,6.367586206896552
Magic Bus,6.365625
Albacrow,6.36
Qubic Pictures,6.36
Sprite Animation Studios,6.355
Millepensee,6.352692307692307
Seven,6.351012658227848
Sublimation,6.35
Chaos Project,6.345
Eiken,6.3425
E&G Films,6.336428571428572
GEMBA,6.333333333333333
Paper Animation,6.33
Boyan Pictures,6.32
TEC,6.32
Jinnis Animation Studios,6.316
Joker Films,6.31
OB Planning,6.31
Yaoyorozu,6.3090909090909095
NAZ,6.308947368421053
W-Toon Studio,6.3088235294117645
Gaina,6.3028571428571425
OLM Digital,6.301111111111111
Artmic,6.2955
Dai-Ichi Douga,6.295
Grouper Productions,6.29
Tonko House,6.29
Studio Gohan,6.2875
PRA,6.2860000000000005
Front Line,6.2825
Hayabusa Film,6.28
Piko Studio,6.28
View Works,6.279999999999999
Anime Antenna Iinkai,6.277727272727272
Shogakukan Music & Digital Entertainment,6.275
Radix,6.2718181818181815
Picture Magic,6.26375
Lilix,6.262222222222222
Gathering,6.260857142857143
Avex Pictures,6.25
Chiptune,6.25
Xuni Yinxiang Gongzuo Shi,6.25
dwarf,6.248571428571428
Milky Cartoon,6.2475
Queen Bee,6.24578947368421
Idol,6.24
Studio 9 Maiami,6.24
Arms,6.236666666666666
Xing Yi Kai Chen,6.23
GIFTanimation,6.225
Studio Jemi,6.225
Wolfsbane,6.220000000000001
Bee Media,6.22
Ishimori Entertainment,6.22
Quebico,6.22
Studio Coa,6.22
Seven Stone Entertainment,6.218333333333334
Studio Fantasia,6.211428571428572
Concept Films,6.21
Darts,6.205
Hoods Entertainment,6.2043333333333335
Studio Ten Carat,6.204
Trinet Entertainment,6.203333333333333
Kyushu Network Animation,6.2
Office No. 8,6.1987499999999995
Green Monster Team,6.18
StoryRiders Co. Ltd.,6.18
Studio Hokiboshi,6.178571428571429
Jumonji,6.176666666666667
Dynamo Pictures,6.165
Kaname Productions,6.158333333333333
Vega Entertainment,6.157777777777778
Atorie A.B.C.,6.15
Himajin Planning,6.15
OLM Team Kato,6.15
Qianqi Animation,6.15
