cleaned_category,score
Radix,6.525
Pixy,6.52375
Beijing Rocen Digital,6.523333333333333
Mill Creek Entertainment,6.523333333333333
Universal Pictures Japan,6.523333333333333
Hoods Entertainment,6.5225
AZ Creative,6.5200000000000005
Bushiroad Music,6.52
Fosun Entertainment Japan,6.52
Kadokawa Media (Taiwan),6.52
Nippon Ichi Software,6.52
Tose,6.52
Duckbill Entertainment,6.516666666666667
pH Studio,6.513333333333334
Tezuka Productions,6.512380952380952
GungHo Online Entertainment,6.51
Hoso Seisaku Doga,6.51
Studio MWP,6.51
Sunrise Beyond,6.51
Nintendo,6.507692307692308
Vasoon Animation,6.506666666666667
Happy Elements,6.503333333333333
L.,6.5
Maho Film,6.5
Universal Studios,6.5
Zipang,6.5
Konami Digital Entertainment,6.495
Hifumi Shobo,6.49
Milkshake,6.49
TRUSS,6.49
Tohjak,6.49
Bit Promotion,6.487
Exa International,6.481
Company AZA,6.48
Japan Sleeve,6.48
Orix,6.48
eBooK Initiative Japan,6.48
Exit Tunes,6.47375
Spacey Music Entertainment,6.473333333333334
Tokuma Japan,6.4712499999999995
Capcom,6.471176470588236
Takara Tomy A.R.T.S,6.470000000000001
ANiMix Project,6.47
Animaruya,6.47
Bandai Namco Pictures,6.465
DLE,6.465
Moonbell,6.465
SUPA LOVE,6.465
Hakuhodo,6.4622222222222225
Studio Zero,6.46
Opera House,6.458
Mattel Creations,6.455
ADK Emotions NY,6.453333333333333
THINKR,6.45
TOMY Company,6.449999999999999
GREE,6.447857142857143
ASIA Documentary Productions,6.44
Himeyuri Alumnae Incorporated Foundation,6.44
Oz Inc.,6.44
Urban Product,6.44
5pb.,6.438571428571429
Showten,6.437142857142857
Being,6.436
On The Run,6.4350000000000005
Beijing IMMG,6.43
China Film Animation,6.43
Pencil,6.43
Studio Core,6.43
Dentsu Razorfish,6.425
SUBARU,6.425
Shanghai Tiantan Culture & Media,6.425
Nelvana,6.422000000000001
Gamegate,6.42
Studio A-CAT,6.42
Studio Shamrock,6.42
Success Corp.,6.42
Active,6.418571428571429
Dynamic Planning,6.41525
CBS,6.411428571428572
Boyan Pictures,6.41
Cranberry,6.41
Puzzle Animation Studio Limited,6.41
feng,6.41
Sony Creative Products,6.405
Enoki Films,6.4025
Live Viewing Japan,6.402
Chukyo TV Broadcasting,6.401666666666666
7doc,6.4
ChuChu,6.4
HOTZIPANG,6.4
Kadokawa Daiei Studio,6.4
Twin Planet,6.4
AC Create,6.3966666666666665
Toshiba EMI,6.395625
Fujishouji,6.395
Studio Comet,6.3933333333333335
Anchor,6.390000000000001
Polygon Magic,6.390000000000001
IMAGICA Lab.,6.39
Kotobukiya,6.39
Anime Antenna Iinkai,6.388333333333334
A3,6.3875
TAKI Corporation,6.385
DJI,6.38
Shochiku Media Division,6.38
W-Toon Studio,6.38
LandQ studios,6.376666666666666
Tokyu Recreation,6.375
Studio CHANT,6.3725
Trigger,6.37
Ishimori Pro,6.365
BS-i,6.36
Nice Boat Animation,6.36
Oxybot,6.36
Venus Vangard,6.36
Wolf Smoke Studio,6.36
Yuhodo,6.355
Antechinus,6.3545454545454545
Pink Pineapple,6.351452991452992
Queen Bee,6.349615384615385
Hot Bear,6.3475
Hulu,6.346666666666667
"""Childrens Playground Entertainment""",6.346
BOOTLEG,6.341304347826087
Tapioca,6.34
entama,6.34
monofilmo,6.34
Kanade Creative,6.333333333333334
A-1 Pictures,6.33
Cosmos,6.33
Da Huoniao Donghua,6.33
Nippon Animation,6.325
Tsuburaya Productions,6.322307692307692
Beijing Sharaku Art,6.32
Dwango Music Entertainment,6.32
Right Gauge,6.32
Scarlet,6.32
animate Film,6.318518518518519
White Bear,6.314285714285714
Jinnis Animation Studios,6.3100000000000005
Arcturus,6.31
NIANTIC,6.31
Yaoqi,6.305
Imagi,6.3
Kawade Shobo Shinsha,6.3
Planet,6.3
Age,6.298
JTB Entertainment,6.295
Shirogumi,6.295
Amuse,6.29235294117647
4Kids Entertainment,6.29
Four Some,6.29
Marza Animation Planet,6.29
Stardust Promotion,6.29
Yostar Pictures,6.29
Nihon Falcom,6.2875000000000005
Just Production,6.285
Cocoro Free,6.28
Fever Dreams,6.28
Gzbrain,6.28
KAGAYA Studio,6.28
Media Do,6.28
Rironsha,6.28
Studio elle,6.28
Tosho Printing,6.28
Visual Vision,6.28
Kokusai Eigasha,6.27875
Gakken,6.278333333333333
Digital Frontier,6.275
Think Corporation,6.275
BIGFACE,6.273333333333333
Wave Master,6.273333333333333
GAGA,6.271538461538461
"""jeux deau""",6.27
CG Year,6.27
Media Castle,6.27
Neft Film,6.27
XFLAG Pictures,6.266666666666667
Studio Carbuncle,6.26
Studio Compile,6.26
U/M/A/A Inc.,6.26
Gold Bear,6.258
Youmex,6.2572222222222225
SME Records,6.254444444444444
Chippai,6.253636363636364
Donuts,6.25
Stay Luck,6.25
Teichiku Entertainment,6.246666666666667
"""Toys Factory""",6.244642857142857
Other or NA,6.241119665640123
Satelight,6.24
Bones,6.234999999999999
BeeWorks,6.23
Cloud22,6.23
Mitsubishi,6.23
Xing Yi Kai Chen,6.23
ZOOM ENTERPRISE,6.23
Warner Music Japan,6.2285
Sega,6.228358208955224
Koei Tecmo Games,6.2225
Asahi Production,6.2219999999999995
Aikikaku Center,6.22
Chukong Technologies,6.22
Fairy Dust,6.22
Forecast Communications,6.22
NOTTV,6.22
Mediabank,6.217083333333333
ING,6.21
MS Pictures,6.203907284768212
D3,6.200909090909091
Ryukyu Asahi Broadcasting,6.2
Kawamoto Productions,6.19
Starry Cube,6.1899999999999995
TUBA,6.1899999999999995
tamakoshi,6.1899999999999995
ZIZ Entertainment (ZIZ),6.188571428571429
Aoni Production,6.188
NHK,6.18390756302521
Hobby Japan,6.182916666666666
Polygon Pictures,6.1825
CEKAI,6.18
High Kick Entertainment,6.18
Kaeruotoko Shokai,6.18
Tochigi TV,6.18
Three Fat Samurai,6.175
B.CMAY PICTURES,6.173333333333334
Takahashi Studio,6.17
feel.,6.17
Celsys,6.165
Graduate School of Film Producing,6.165
Hexagon Pictures,6.165
Muse International,6.165
OCC,6.165
Watermark,6.165
Earth Star Entertainment,6.164411764705882
Shinano Kikaku,6.162
Dream Creation,6.161379310344827
Office AO,6.16
Slow Curve,6.157777777777778
KSS,6.157045454545455
C2C,6.154999999999999
Bee Train,6.15
Fuji&gumi Games,6.15
Japan Volleyball Association,6.15
SEDIC International,6.15
Zero-G,6.15
Coamix,6.145
Orange,6.1433333333333335
Magic Bus,6.143
Nikkatsu,6.142222222222222
